x,u,rho
0.0,0.04544753452411972,1.0
0.0025,0.04545452862255425,1.00375
0.005,0.04547551223485229,1.0075
0.0075,0.045510490917539746,1.01125
0.01,0.04555947446670867,1.015
0.0125,0.045622476919213464,1.01875
0.015,0.045699516555025445,1.0225
0.0175,0.04579061590074296,1.02625
0.02,0.04589580173425453,1.03
0.0225,0.046015105090552226,1.03375
0.025,0.04614856126869312,1.0375
0.0275,0.04629620983990648,1.04125
0.03,0.0464580946568446,1.045
0.0325,0.04663426386397524,1.04875
0.035,0.046824769909113946,1.0525
0.0375,0.047029669556094306,1.05625
0.04,0.047249023898574695,1.06
0.0425,0.047482898374979765,1.06375
0.045,0.0477313627845753,1.0675
0.0475,0.04799449130467507,1.07125
0.05,0.04827236250897828,1.075
0.0525,0.04856505938703642,1.07875
0.055,0.048872669364848215,1.0825
0.0575,0.04919528432658161,1.08625
0.06,0.049533000637421554,1.09
0.0625,0.04988591916754251,1.09375
0.065,0.05025414531720448,1.0975
0.0675,0.050637789042971615,1.10125
0.07,0.051036964885052036,1.105
0.0725,0.05145179199575789,1.10875
0.075,0.051882394169084356,1.1125
0.0775,0.05232889987140634,1.11625
0.08,0.05279144227329161,1.12
0.0825,0.05327015928242892,1.12375
0.085,0.053765193577669554,1.1275
0.0875,0.05427669264418093,1.13125
0.09,0.05480480880971031,1.135
0.0925,0.05534969928195673,1.13875
0.095,0.05591152618704951,1.1425
0.0975,0.05649045660913055,1.14625
0.1,0.057086662631038634,1.15
0.1025,0.05770032137609269,1.15375
0.105,0.058331615050971494,1.1575
0.1075,0.05898073098968657,1.16125
0.11,0.059647861698644986,1.165
0.1125,0.06033320490279856,1.16875
0.115,0.06103696359287531,1.1725
0.1175,0.061759346073689075,1.17625
0.12,0.06250056601352258,1.18
0.1225,0.06326084249457899,1.18375
0.125,0.06404040006449656,1.1875
0.1275,0.0648394687889204,1.19125
0.13,0.06565828430512528,1.195
0.1325,0.06649708787668256,1.19875
0.135,0.0673561264491638,1.2025000000000001
0.1375,0.06823565270687373,1.20625
