x,u,rho
0.0,5.75987236353918e-14,1.0
0.0025,1.250568083295075e-13,1.00375
0.005,2.398995405457231e-13,1.0075
0.0075,5.088107684633312e-13,1.01125
0.01,1.2555861287145174e-12,1.015
0.0125,2.1319657106134864e-12,1.01875
0.015,4.949152470592363e-12,1.0225
0.0175,9.669190498821694e-12,1.02625
0.02,2.1811296200935107e-11,1.03
0.0225,3.922230720701058e-11,1.03375
0.025,8.237587797297752e-11,1.0375
0.0275,2.046568790192159e-10,1.04125
0.03,3.341727231343343e-10,1.045
0.0325,8.037755276502099e-10,1.04875
0.035,1.3202960241608944e-9,1.0525
0.0375,2.976512227427485e-9,1.05625
0.04,4.537173302479066e-9,1.06
0.0425,1.0840050501441947e-8,1.06375
0.045,1.7828537335410977e-8,1.0675
0.0475,3.283421143516802e-8,1.07125
0.05,6.596860993862385e-8,1.075
0.0525,9.95382706909867e-8,1.07875
0.055,1.871506655631674e-7,1.0825
0.0575,3.717036862606758e-7,1.08625
0.06,5.714575294865896e-7,1.09
0.0625,9.374880416760672e-7,1.09375
0.065,1.9238543986496292e-6,1.0975
0.0675,3.1463032158812503e-6,1.10125
0.07,5.8556779123539065e-6,1.105
0.0725,9.851031922246326e-6,1.10875
0.075,1.4478473643422139e-5,1.1125
0.0775,2.16847400270873e-5,1.11625
0.08,4.17295958154203e-5,1.12
0.0825,5.8363233446060866e-5,1.12375
0.085,9.473160662847927e-5,1.1275
0.0875,0.00017143284023423625,1.13125
0.09,0.00022251557005514082,1.135
0.0925,0.00033501196987656206,1.13875
0.095,0.0005424446193653552,1.1425
0.0975,0.0008148576430680286,1.14625
0.1,0.0013460863416487675,1.15
0.1025,0.0022303133250728795,1.15375
0.105,0.0030653211060428214,1.1575
0.1075,0.00382527922297224,1.16125
0.11,0.005743630223631472,1.165
0.1125,0.0077638011311174865,1.16875
0.115,0.011381257910881896,1.1725
0.1175,0.01906917728144568,1.17625
0.12,0.026370391200300446,1.18
0.1225,0.031162551464003742,1.18375
0.125,0.04318614608112446,1.1875
0.1275,0.05898958846601825,1.19125
0.13,0.08536951725873027,1.195
0.1325,0.10274402609042672,1.19875
0.135,0.14054554006620062,1.2025000000000001
0.1375,0.15331497394379348,1.20625
0.14,0.2359667178458816,1.21
0.1425,0.2907265825788505,1.21375
0.145,0.3963958409862826,1.2175
0.1475,0.39444263925111117,1.22125
0.15,0.4816542110230364,1.225
0.1525,0.7204444580558309,1.22875
0.155,0.8815646930238282,1.2325
0.1575,0.9978671008187724,1.23625
0.16,1.2190006291753799,1.24
0.1625,1.4570663675272693,1.24375
0.165,1.346567796429488,1.2475
0.1675,1.6521525289780286,1.25125
0.17,1.826126190866783,1.255
0.1725,2.2422675649184804,1.25875
0.175,2.135794123374244,1.2625
0.1775,2.859368016535086,1.2662499999999999
0.18,3.0582989490351853,1.27
0.1825,3.1995432171961835,1.27375
0.185,3.299356818991537,1.2774999999999999
0.1875,3.535242193660902,1.28125
0.19,3.499718122237195,1.2850000000000001
0.1925,4.106514796134156,1.28875
0.195,3.41102073589999,1.2925
0.1975,3.800424011453032,1.2962500000000001
0.2,4.2820606032075625,1.0
0.2025,4.327473954770164,1.00375
0.205,4.425573650944149,1.0075
0.2075,3.662541993669948,1.01125
0.21,3.6598150976230133,1.015
0.2125,3.567351245439818,1.01875
0.215,3.1978181173851263,1.0225
0.2175,3.3466017823931806,1.0262499999999999
0.22,2.7088267038873766,1.03
0.2225,2.6361548848254093,1.03375
0.225,2.289719283101223,1.0375
0.2275,2.427242252679417,1.04125
0.23,1.9817218491875297,1.045
0.2325,1.6921756974613797,1.04875
0.235,1.358498064847506,1.0525
0.2375,1.2516394721003001,1.05625
0.24,1.2193384694801903,1.06
0.2425,0.840868488749181,1.06375
0.245,0.7901394091524219,1.0675
0.2475,0.6406087587561443,1.07125
0.25,0.5999258361307611,1.075
0.2525,0.40367633535618425,1.0787499999999999
0.255,0.36885362546870004,1.0825
0.2575,0.31439607976708883,1.08625
0.26,0.20808233492385275,1.09
0.2625,0.17113986763588698,1.09375
0.265,0.13396225416896201,1.0975
0.2675,0.11098839818595511,1.10125
0.27,0.07108506229925746,1.105
0.2725,0.05580898492590708,1.1087500000000001
0.275,0.04389966988682762,1.1125
0.2775,0.03309180902908597,1.11625
0.28,0.02197043298063479,1.12
0.2825,0.017990963127540772,1.12375
0.285,0.010816815409343336,1.1275
0.2875,0.009770778808492028,1.1312499999999999
0.29,0.006845105343114756,1.135
0.2925,0.003991555805766488,1.13875
0.295,0.002704465429424965,1.1425
0.2975,0.001762719586372965,1.14625
0.3,0.0012926078274133601,1.15
0.3025,0.0010102365534443564,1.15375
0.305,0.0005945279010982134,1.1575
0.3075,0.00041626929986196055,1.16125
0.31,0.00023034293083204162,1.165
0.3125,0.00017791196343004838,1.16875
0.315,9.860097875361698e-5,1.1724999999999999
0.3175,5.8365984985173036e-5,1.17625
0.32,4.0595573791562116e-5,1.18
0.3225,2.7019624230008775e-5,1.18375
0.325,1.452926571690238e-5,1.1875
