x,u,rho
0.0,0.03201833555041553,1.9023172786598725
0.0025,0.03202327029518894,1.9023187486578879
0.005,0.03203807602906704,1.9023231586403202
0.0075,0.032062757251139815,1.9023305085723226
0.01,0.03209732146127831,1.9023407983958045
0.0125,0.03214177916221661,1.902354028029413
0.015,0.03219614386246692,1.9023701973685057
0.0175,0.03226043208006849,1.9023893062851185
0.02,0.032334663347170785,1.9024113546279227
0.0225,0.032418860215451796,1.902436342222177
0.025,0.03251304826237231,1.9024642688696702
0.0275,0.032617256098267156,1.9024951343486587
0.03,0.03273151537427461,1.902528938413792
0.0325,0.03285586079110526,1.9025656807960372
0.035,0.032990330108651676,1.9026053612025893
0.0375,0.033134964156440516,1.9026479793167768
0.04,0.033289806844928695,1.9026935347979612
0.0425,0.033454905177645516,1.9027420272814255
0.045,0.033630309264182506,1.9027934563782567
0.0475,0.03381607233403331,1.902847821675221
0.05,0.03401225075128552,1.9029051227346296
0.0525,0.034218904030166995,1.902965359094199
0.055,0.03443609485144894,1.9030285302668997
0.0575,0.03466388907970842,1.9030946357408012
0.06,0.03490235578145285,1.9031636749789058
0.0625,0.0351515672441094,1.9032356474189773
0.065,0.035411598995882,1.903310552473358
0.0675,0.03568252982647917,1.9033883895287804
0.07,0.035964441808715636,1.9034691579461696
0.0725,0.036257420320991,1.9035528570604392
0.075,0.03656155407064878,1.903639486180276
0.0775,0.03687693511821928,1.9037290445879167
0.08,0.03720365890254968,1.903821531538921
0.0825,0.03754182426682512,1.9039169462619296
0.085,0.03789153348548432,1.9040152879584167
0.0875,0.03825289229203362,1.904116555802436
0.09,0.03862600990776324,1.904220748940354
0.0925,0.03901099907136974,1.904327866490577
0.095,0.03940797606948867,1.9044379075432687
0.0975,0.03981706076814145,1.90455087116006
0.1,0.04023837664510074,1.9046667563737465
0.1025,0.04067205082317838,1.9047855621879823
0.105,0.041118214104440186,1.9049072875769595
0.1075,0.04157700100535203,1.9050319314850799
0.11,0.04204854979286125,1.9051594928266216
0.1125,0.04253300252141827,1.905289970485389
0.115,0.04303050507094226,1.9054233633143598
0.1175,0.043541207185735765,1.9055596701353168
0.12,0.044065262514352464,1.9056988897384761
0.1225,0.04460282865042272,1.9058410208821006
0.125,0.04515406717444132,1.9059860622921052
0.1275,0.04571914369652173,1.9061340126616517
0.13,0.04629822790012152,1.9062848706507367
0.1325,0.046891493586743146,1.906438634885763
0.135,0.047499118721615635,1.9065953039591066
0.1375,0.048121285480358496,1.9067548764286715
0.14,0.04875818029663859,1.9069173508174313
0.1425,0.04940999391080875,1.9070827256129648
0.145,0.05007692141956004,1.907250999266975
0.1475,0.050759162326555696,1.9074221701948049
0.15,0.051456920594112075,1.907596236774934
0.1525,0.05217040469581925,1.90777319734847
0.155,0.05289982767017963,1.9079530502186244
0.1575,0.0536454071753615,1.908135793650182
0.16,0.054407365544913606,1.9083214258689527
0.1625,0.05518592984441906,1.9085099450612173
0.165,0.05598133192929315,1.9087013493731564
0.1675,0.0567938085038649,1.9088956369102725
0.17,0.05762360118062493,1.9090928057367944
0.1725,0.05847095654149261,1.9092928538750737
0.175,0.05933612619935036,1.9094957793049683
0.1775,0.060219366861849824,1.9097015799632093
0.18,0.061120940393728715,1.9099102537427606
0.1825,0.062041113883601826,1.9101217984921617
0.185,0.06298015970947644,1.9103362120148604
0.1875,0.06393835560585745,1.910553492068529
0.19,0.06491598473159635,1.910773636364369
0.1925,0.06591333573988098,1.9109966425664031
0.195,0.06693070284669372,1.9112225082907506
0.1975,0.06796838590616325,1.9114512311048923
0.2,0.0690266904780259,1.911682808526919
0.2025,0.07010592790423713,1.911917238024765
0.205,0.07120641538214953,1.9121545170154304
0.2075,0.0723284760402469,1.9123946428641843
0.21,0.07347243901625995,1.9126376128837579
0.2125,0.07463863953199645,1.9128834243335198
0.215,0.07582741897337834,1.9131320744186342
0.2175,0.07703912497036432,1.9133835602892098
0.22,0.07827411147651872,1.9136378790394242
0.2225,0.079532738852494,1.9138950277066424
0.225,0.08081537394697852,1.9141550032705117
0.2275,0.08212239018145175,1.9144178026520429
0.23,0.08345416763413556,1.9146834227126754
0.2325,0.08481109312681435,1.9149518602533264
0.235,0.08619356031078813,1.9152231120134198
0.2375,0.08760196975474599,1.915497174669903
0.24,0.08903672903327076,1.9157740448362417
0.2425,0.09049825281657449,1.9160537190614
0.245,0.09198696296125781,1.9163361938288008
0.2475,0.0935032886014793,1.9166214655552716
0.25,0.09504766624153738,1.9169095305899673
0.2525,0.09662053984910039,1.9172003852132782
0.255,0.09822236094945398,1.9174940256357174
0.2575,0.09985358872046984,1.917790447996791
0.26,0.10151469008853274,1.9180896483638465
0.2625,0.10320613982525363,1.9183916227309061
0.265,0.10492842064497039,1.9186963670174735
0.2675,0.10668202330305228,1.9190038770673288
0.27,0.10846744669495141,1.9193141486472973
0.2725,0.11028519795598786,1.9196271774460005
0.275,0.11213579256183569,1.9199429590725858
0.2775,0.11401975442968684,1.9202614890554364
0.28,0.11593761602005966,1.9205827628408574
0.2825,0.11788991843922059,1.9209067757917426
0.285,0.1198772115421855,1.9212335231862216
0.2875,0.12190005403626583,1.9215630002162796
0.29,0.12395901358512115,1.9218952019863595
0.2925,0.1260546669132803,1.92223012351194
0.295,0.12818759991108872,1.92256775971809
0.2975,0.13035840774003957,1.9229081054380035
0.3,0.13256769493844278,1.923251155411507
0.3025,0.1348160755273848,1.9235969042835461
0.305,0.13710417311692902,1.9239453466026477
0.3075,0.13943262101250473,1.924296476819357
0.31,0.14180206232142992,1.9246502892846522
0.3125,0.1442131500595112,1.9250067782483349
0.315,0.14666654725766065,1.9253659378573913
0.3175,0.14916292706846737,1.9257277621543347
0.32,0.15170297287265874,1.9260922450755171
0.3225,0.15428737838538364,1.9264593804494201
0.325,0.15691684776224604,1.9268291619949143
0.3275,0.15959209570501598,1.9272015833194978
0.33,0.1623138475669399,1.9275766379175046
0.3325,0.1650828394575712,1.927954319168289
0.335,0.16789981834703696,1.9283346203343823
0.3375,0.1707655421696534,1.9287175345596181
0.34,0.17368077992680084,1.9291030548672392
0.3425,0.17664631178896328,1.9294911741579672
0.345,0.1796629291968355,1.9298818852080504
0.3475,0.1827314349613952,1.9302751806672795
0.35,0.18585264336283658,1.9306710530569808
0.3525,0.18902738024825375,1.93106949476797
0.355,0.19225648312796234,1.9314704980584902
0.3575,0.19554080127034038,1.9318740550521096
0.36,0.19888119579506697,1.9322801577355961
0.3625,0.20227853976463164,1.9326887979567593
0.365,0.20573371827398407,1.9330999674222653
0.3675,0.20924762853818724,1.9335136576954168
0.37,0.21282117997793462,1.933929860193908
0.3725,0.21645529430278487,1.934348566187545
0.375,0.22015090559196376,1.934769766795939
0.3775,0.22390896037257801,1.935193452986163
0.38,0.22773041769507954,1.9356196155703842
0.3825,0.2316162492058132,1.93604824520346
0.385,0.23556743921647783,1.936479332380503
0.3875,0.23958498477032047,1.936912867434417
0.39,0.243669895704883,1.9373488405333985
0.3925,0.24782319471110956,1.937787241678407
0.395,0.25204591738862125,1.9382280607006033
0.3975,0.2563391122969559,1.9386712872587537
0.4,0.260703841002565,1.939116910836606
0.4025,0.2651411781213546,1.9395649207402272
0.405,0.2696522113565489,1.9400153060953131
0.4075,0.2742380415316488,1.9404680558444625
0.41,0.278899782618254,1.9409231587444202
0.4125,0.28363856175850455,1.9413806033632852
0.415,0.28845551928189644,1.941840378077687
0.4175,0.2933518087162158,1.9423024710699304
0.42,0.2983285967923296,1.9427668703251029
0.4225,0.30338706344256344,1.9432335636281528
0.425,0.3085284017923909,1.9437025385609334
0.4275,0.313753818145148,1.9441737824992138
0.43,0.3190645319594845,1.9446472826096555
0.4325,0.32446177581924834,1.945123025846757
0.435,0.32994679539550065,1.9456009989497671
0.4375,0.3355208494003423,1.9460811884395632
0.44,0.3411852095322322,1.9465635806154962
0.4425,0.3469411604124644,1.9470481615522057
0.445,0.3527899995124665,1.9475349170964011
0.4475,0.3587330370715707,1.9480238328636086
0.45,0.364771596004905,1.9485148942348913
0.4525,0.3709070118010381,1.949008086353532
0.455,0.377140632409009,1.9495033941216873
0.4575,0.3834738181143605,1.9500008021970094
0.46,0.3899079414037885,1.9505002949892398
0.4625,0.39644438681801136,1.9510018566567673
0.465,0.40308455079245503,1.9515054711031585
0.4675,0.40982984148534096,1.9520111219736607
0.47,0.4166816785927568,1.952518792651671
0.4725,0.42364149315027955,1.9530284662551798
0.475,0.4307107273207172,1.9535401256331821
0.4775,0.43789083416752106,1.9540537533620677
0.48,0.4451832774134187,1.954569331741974
0.4825,0.4525895311838055,1.955086842793122
0.485,0.46011107973442916,1.9556062682521194
0.4875,0.46774941716288876,1.9561275895682422
0.49,0.4755060471034701,1.9566507878996877
0.4925,0.48338248240482445,1.9571758441098077
0.495,0.49138024478999626,1.9577027387633164
0.4975,0.4995008644982967,1.9582314521224733
0.5,0.507745879908514,1.9587619641432523
0.5025,0.5161168371429459,1.9592942544714813
0.505,0.5246152896517318,1.9598283024389687
0.5075,0.5332427977769625,1.9603640870596084
0.51,0.5420009282960321,1.9609015870254676
0.5125,0.5508912539436995,1.9614407807028604
0.515,0.5599153529123188,1.9619816461284039
0.5175,0.5690748083296961,1.9625241610050614
0.52,0.5783712077140274,1.9630683026981741
0.5225,0.5878061424053644,1.9636140482314797
0.525,0.5973812069730642,1.9641613742831228
0.5275,0.6070979985986655,1.9647102571816566
0.53,0.6169581164336401,1.9652606729020377
0.5325,0.6269631609314672,1.965812597061617
0.535,0.6371147331534781,1.9663660049161238
0.5375,0.6474144340479212,1.9669208713556532
0.54,0.6578638637016961,1.9674771709006489
0.5425,0.6684646205642171,1.9680348776978922
0.545,0.6792183006428587,1.9685939655164901
0.5475,0.6901264966694516,1.9691544077438738
0.55,0.7011907972372976,1.9697161773818037
0.5525,0.71241278590818,1.9702792470423824
0.555,0.7237940402888546,1.9708435889440838
0.5575,0.7353361310765177,1.9714091749077938
0.56,0.7470406210727553,1.97197597635287
0.5625,0.7589090641654872,1.9725439642932197
0.565,0.7709430042784431,1.973113109333401
0.5675,0.7831439742877079,1.9736833816647483
0.57,0.7955134949049014,1.9742547510615247
0.5725,0.8080530735265682,1.9748271868771043
0.575,0.8207642030493744,1.9754006580401906
0.5775,0.8336483606507302,1.9759751330510658
0.58,0.846707006534473,1.9765505799778835
0.5825,0.859941582641281,1.9771269664530027
0.585,0.8733535113235,1.9777042596693657
0.5875,0.8869441939841003,1.9782824263769254
0.59,0.9007150096795121,1.9788614328791267
0.5925,0.9146673136861122,1.9794412450294405
0.595,0.9288024360301725,1.9800218282279594
0.5975,0.943121679981116,1.9806031474180545
0.6,0.9576263205079585,1.9811851670831007
0.6025,0.9723176026988619,1.9817678512432702
0.605,0.9871967401437561,1.9823511634524036
0.6075,1.0022649132800396,1.9829350667949561
0.61,1.0175232677014097,1.983519523883029
0.6125,1.0329729124299185,1.984104496853487
0.615,1.048614918151414,1.9846899473651667
0.6175,1.0644503154145615,1.98527583659618
0.62,1.080480092793706,1.9858621252413202
0.6225,1.0967051950158988,1.98644877350957
0.625,1.1131265210524564,1.9870357411217194
0.6275,1.1297449221754956,1.9876229873081008
0.63,1.1465611999799514,1.988210470806437
0.6325,1.1635761043716464,1.988798149859819
0.635,1.1807903315220571,1.989385982214811
0.6375,1.1982045217904929,1.9899739251196893
